Mod:Item:MetaData, Localized Name
hbm:ingot_co60, Cobalt-60 Ingot
hbm:ingot_strontium, Strontium Ingot
hbm:ingot_sr90, Strontium-90 Ingot
hbm:ingot_iodine, Iodine Ingot
hbm:ingot_i131, Iodine-131 Ingot
hbm:ingot_au198, Gold-198 Ingot
hbm:ingot_pb209, Lead-209 Ingot
hbm:ingot_ra226, Radium-226 Ingot
hbm:ingot_ac227, Actinium-227 Ingot
hbm:ingot_gh336, Ghiorsium-336 Ingot
hbm:ingot_radspice, Neoveline Ingot
hbm:ingot_electronium:0, Electronium Ingot
hbm:ingot_reiium, Reiium Ingot
hbm:ingot_weidanium, Weidanium Ingot
hbm:ingot_australium, Australium Ingot
hbm:ingot_verticium, Verticium Ingot
hbm:ingot_unobtainium, Unobtainium Ingot
hbm:ingot_daffergon, Daffergon Ingot
hbm:ingot_steel_dusted:0, Dusted Steel Ingot
hbm:ingot_chainsteel, Heavy Chainsteel
hbm:ingot_meteorite, Meteorite Ingot
hbm:ingot_meteorite_forged, Forged Meteorite Ingot
hbm:blade_meteorite, Meteorite Blade
hbm:billet_th232, Thorium-232 Billet
hbm:billet_uranium, Uranium Billet
hbm:billet_u233, Uranium-233 Billet
hbm:billet_u235, Uranium-235 Billet
hbm:billet_u238, Uranium-238 Billet
hbm:billet_plutonium, Plutonium Billet
hbm:billet_pu238, Plutonium-238 Billet
hbm:billet_pu239, Plutonium-239 Billet
hbm:billet_pu240, Plutonium-240 Billet
hbm:billet_pu241, Plutonium-241 Billet
hbm:billet_pu_mix, Reactor Grade Plutonium Billet
hbm:billet_am241, Americium-241 Billet
hbm:billet_am242, Americium-242 Billet
hbm:billet_am_mix, Reactor Grade Americium Billet
hbm:billet_neptunium, Neptunium-237 Billet
hbm:billet_polonium, Polonium-210 Billet
hbm:billet_technetium, Technetium-99 Billet
hbm:billet_co60, Cobalt-60 Billet
hbm:billet_sr90, Strontium-90 Billet
hbm:billet_au198, Gold-198 Billet
hbm:billet_pb209, Lead-209 Billet
hbm:billet_ra226, Radium-226 Billet
hbm:billet_ac227, Actinium-227 Billet
hbm:billet_gh336, Ghiorsium-336 Billet
hbm:billet_beryllium, Beryllium Billet
hbm:billet_bismuth, Bismuth-209 Billet
hbm:billet_zirconium, Zirconium Billet
hbm:billet_zfb_bismuth, Bismuth-209 ZFB Billet
hbm:billet_zfb_pu241, Pu-241 ZFB Billet
hbm:billet_zfb_am_mix, Americium ZFB Billet
hbm:billet_schrabidium, Schrabidium-326 Billet
hbm:billet_solinium, Solinium-327 Billet
hbm:billet_thorium_fuel, Thorium Fuel Billet
hbm:billet_uranium_fuel, Uranium Fuel Billet
hbm:billet_mox_fuel, MOX Fuel Billet
hbm:billet_plutonium_fuel, Plutonium Fuel Billet
hbm:billet_neptunium_fuel, Neptunium Fuel Billet
hbm:billet_americium_fuel, Americium Fuel Billet
hbm:billet_les, Low Enriched Schrabidium Fuel Billet
hbm:billet_schrabidium_fuel, Schrabidium Fuel Billet
hbm:billet_hes, Highly Enriched Schrabidium Fuel Billet
hbm:billet_po210be, Po210Be Billet
hbm:billet_ra226be, Ra226Be Billet
hbm:billet_pu238be, Pu238Be Billet
hbm:billet_australium, Australium Billet
hbm:billet_australium_lesser, Australium-405 Billet
hbm:billet_australium_greater, Australium-406 Billet
hbm:billet_unobtainium, Unobtainium Neutron Billet
hbm:billet_yharonite, Yharonite Billet
hbm:billet_balefire_gold, Flashgold Billet
hbm:billet_flashlead, Flashlead Billet
hbm:billet_nuclear_waste, Nuclear Waste Billet
hbm:bio_wafer, Bio Wafer
hbm:nugget_uranium, Uranium Nugget
hbm:nugget_u233, Uranium-233 Nugget
hbm:nugget_u235, Uranium-235 Nugget
hbm:nugget_u238, Uranium-238 Nugget
hbm:nugget_u238m2:0, Metastable U238-2 Nugget
hbm:nugget_plutonium, Plutonium Nugget
hbm:nugget_pu238, Plutonium-238 Nugget
hbm:nugget_pu239, Plutonium-239 Nugget
hbm:nugget_pu240, Plutonium-240 Nugget
hbm:nugget_th232, Thorium-232 Nugget
hbm:nugget_pu241, Plutonium-241 Nugget
hbm:nugget_pu_mix, Reactor Grade Plutonium Nugget
hbm:nugget_am241, Americium-241 Nugget
hbm:nugget_am242, Americium-242 Nugget
hbm:nugget_am_mix, Reactor Grade Americium Nugget
hbm:nugget_technetium, Technetium-99 Nugget
hbm:nugget_neptunium, Neptunium-237 Nugget
hbm:nugget_polonium, Polonium-210 Nugget
hbm:nugget_thorium_fuel, Nugget of Thorium Fuel
hbm:nugget_uranium_fuel, Nugget of Uranium Fuel
hbm:nugget_mox_fuel, Nugget of MOX Fuel
hbm:nugget_plutonium_fuel, Nugget of Plutonium Fuel
hbm:nugget_neptunium_fuel, Neptunium Fuel Nugget
hbm:nugget_americium_fuel, Americium Fuel Nugget
hbm:nugget_les, Low Enriched Schrabidium Fuel Nugget
hbm:nugget_schrabidium_fuel, Nugget of Schrabidium Fuel
hbm:nugget_hes, Highly Enriched Schrabidium Fuel Nugget
hbm:nugget_lead, Lead Nugget
hbm:nugget_beryllium, Beryllium Nugget
hbm:nugget_cadmium, Cadmium Nugget
hbm:nugget_bismuth, Bismuth-209 Nugget
hbm:nugget_arsenic, Arsenic Nugget					 
hbm:nugget_zirconium, Zirconium Splinter
hbm:nugget_tantalium, Tantalium Nugget
hbm:nugget_desh, Desh Nugget
hbm:nugget_osmiridium, Osmiridium Nugget
hbm:nugget_schrabidium, Schrabidium-326 Nugget
hbm:nugget_solinium, Solinium-327 Nugget
hbm:nugget_euphemium, Euphemium Nugget
hbm:nugget_dineutronium, Dineutronium Nugget
hbm:nugget_actinium, Actinium Nugget
hbm:nugget_ac227, Actinium-227 Nugget
hbm:nugget_cobalt, Cobalt Nugget
hbm:nugget_co60, Cobalt-60 Nugget
hbm:nugget_strontium, Strontium Nugget
hbm:nugget_sr90, Strontium-90 Nugget
hbm:nugget_pb209, Lead-209 Nugget
hbm:nugget_gh336, Ghiorsium-336 Nugget
hbm:nugget_au198, Gold-198 Nugget
hbm:nugget_ra226, Radium-226 Nugget
hbm:nugget_radspice, Neoveline Nugget
hbm:nugget_reiium, Reiium Nugget
hbm:nugget_weidanium, Weidanium Nugget
hbm:nugget_australium, Australium Nugget
hbm:nugget_australium_lesser, Australium-405 Nugget
hbm:nugget_australium_greater, Australium-406 Nugget
hbm:nugget_verticium, Verticium Nugget
hbm:nugget_unobtainium, Unobtainium Nugget
hbm:nugget_unobtainium_lesser, Unobtainium-439 Nugget
hbm:nugget_unobtainium_greater, Unobtainium-440 Nugget
hbm:nugget_daffergon, Daffergon Nugget
hbm:nugget_mercury, Small Drop of Mercury
hbm:bottle_mercury, Bottle of Mercury
hbm:powder_iron, Iron Powder
hbm:powder_gold, Gold Powder
hbm:powder_diamond, Diamond Powder
hbm:powder_emerald, Emerald Powder
hbm:powder_lapis, Lapis Lazuli Powder
hbm:powder_titanium, Titanium Powder
hbm:powder_tungsten, Tungsten Powder
hbm:powder_copper, Copper Powder
hbm:powder_beryllium, Beryllium Powder
hbm:powder_aluminium, Aluminium Powder
hbm:powder_lead, Lead Powder
hbm:powder_advanced_alloy, Advanced Alloy Powder
hbm:powder_combine_steel, CMB Steel Powder
hbm:powder_tcalloy, Technetium Steel Powder
hbm:powder_cdalloy, Cadmium Steel Powder
hbm:powder_magnetized_tungsten, Magnetized Tungsten Powder
hbm:powder_chlorophyte, Chlorophyte Powder
hbm:powder_red_copper, Red Copper Powder
hbm:powder_steel, Steel Powder
hbm:powder_steel_tiny, Tiny Pile of Steel Powder
hbm:powder_lithium, Lithium Powder
hbm:powder_lithium_tiny, Tiny Pile of Lithium Powder
hbm:redstone_depleted, Desaturated Redstone Dust
hbm:powder_quartz, Quartz Powder
hbm:powder_borax, Borax Powder
hbm:powder_dura_steel, High-Speed Steel Powder
hbm:powder_polymer, Polymer Powder
hbm:powder_bakelite, Bakelite Powder
hbm:powder_lanthanium, Lanthanium Powder
hbm:powder_lanthanium_tiny, Tiny Pile of Lanthanium Powder
hbm:powder_actinium, Actinium Powder
hbm:powder_actinium_tiny, Tiny Pile of Actinium Powder
hbm:powder_boron, Boron Powder
hbm:powder_boron_tiny, Tiny Pile of Boron Powder
hbm:powder_semtex_mix, Semtex Blend
hbm:powder_desh, Desh Powder
hbm:powder_zirconium, Zirconium Powder
hbm:powder_lignite, Lignite Powder
hbm:powder_asbestos, Asbestos Powder
hbm:powder_cadmium, Cadmium Powder
hbm:powder_bismuth, Bismuth-209 Powder
hbm:powder_coal, Coal Powder
hbm:powder_coal_tiny, Tiny Pile of Coal Powder
hbm:powder_yellowcake, Yellowcake
hbm:powder_thorium, Thorium Powder
hbm:powder_uranium, Uranium Powder
hbm:powder_plutonium, Plutonium Powder
hbm:powder_neptunium, Neptunium-237 Powder
hbm:powder_polonium, Polonium-210 Powder
hbm:powder_schrabidium, Schrabidium-326 Powder
hbm:powder_schrabidate, Ferric Schrabidate Powder
hbm:powder_euphemium, Euphemium Powder
hbm:powder_dineutronium, Dineutronium Powder
hbm:powder_iodine, Iodine Powder
hbm:powder_iodine_tiny, Tiny Pile of Iodine Powder
hbm:powder_astatine, Astatine Powder
hbm:powder_neodymium, Neodymium Powder
hbm:powder_neodymium_tiny, Tiny Pile of Neodymium Powder
hbm:powder_caesium, Caesium Powder
hbm:powder_reiium, Reiium Powder
hbm:powder_weidanium, Weidanium Powder
hbm:powder_australium, Australium Powder
hbm:powder_verticium, Verticium Powder
hbm:powder_unobtainium, Unobtainium Powder
hbm:powder_daffergon, Daffergon Powder
hbm:powder_strontium, Strontium Powder
hbm:powder_cobalt, Cobalt Powder
hbm:powder_cobalt_tiny, Tiny Pile of Cobalt Powder
hbm:powder_bromine, Bromine Powder
hbm:powder_niobium, Niobium Powder
hbm:powder_niobium_tiny, Tiny Pile of Niobium Powder
hbm:powder_tantalium, Tantalium Powder
hbm:powder_tennessine, Tennessine-294 Powder
hbm:powder_cerium, Cerium Powder
hbm:powder_cerium_tiny, Tiny Pile of Cerium Powder
hbm:powder_ice, Cryo Powder
hbm:powder_desh_mix, Desh Blend
hbm:powder_desh_ready, DeshReady™ Blend
hbm:powder_nitan_mix, Nitanium Blend
hbm:powder_spark_mix, Spark Blend
hbm:powder_fire, Red Phosphorus
hbm:powder_meteorite, Meteorite Powder
hbm:powder_meteorite_tiny, Tiny Pile of Meteorite Powder
hbm:powder_tektite, Tektite Powder
hbm:powder_paleogenite_tiny, Tiny Pile of Paleogenite Powder
hbm:powder_paleogenite, Paleogenite Powder
hbm:powder_impure_osmiridium, Impure Osmiridium Powder
hbm:powder_osmiridium, Osmiridium Powder
hbm:powder_magic, Pulverized Enchantment
hbm:powder_cloud, Cloud Residue
hbm:powder_balefire, Thermonuclear Ashes
hbm:powder_coltan_ore, Crushed Coltan
hbm:powder_coltan, Purified Tantalite
hbm:powder_poison, Poison Powder
hbm:powder_thermite, Thermite
hbm:powder_power, Energy Powder
hbm:powder_co60, Cobalt-60 Powder
hbm:powder_co60_tiny, Tiny Pile of Cobalt-60 Powder
hbm:powder_sr90, Strontium-90 Powder
hbm:powder_sr90_tiny, Tiny Pile of Strontium-90 Powder
hbm:powder_at209, Astatine-209 Powder
hbm:powder_at209_tiny, Tiny Pile of Astatine-209 Powder
hbm:powder_pb209, Lead-209 Powder
hbm:powder_pb209_tiny, Tiny Pile of Lead-209 Powder
hbm:powder_i131, Iodine-131 Powder
hbm:powder_i131_tiny, Tiny Pile of Iodine-131 Powder
hbm:powder_cs137, Caesium-137 Powder
hbm:powder_cs137_tiny, Tiny Pile of Caesium-137 Powder
hbm:powder_xe135, Xenon-135 Powder
hbm:powder_xe135_tiny, Tiny Pile of Xenon-135 Powder
hbm:powder_au198, Gold-198 Powder
hbm:powder_au198_tiny, Tiny Pile of Gold-198 Powder
hbm:powder_ra226, Radium-226 Powder
hbm:powder_ac227, Actinium-227 Powder
hbm:powder_ac227_tiny, Tiny Pile of Actinium-227 Powder
hbm:powder_radspice, Neoveline Powder
hbm:powder_radspice_tiny, Tiny Pile of Neoveline Powder
hbm:sulfur, Sulfur
hbm:niter, Niter
hbm:fluorite, Fluorite
hbm:lithium, Lithium Cube
hbm:ingot_semtex, Bar of Semtex
hbm:ingot_c4, Bar of C-4
hbm:trinitite, Trinitite
hbm:nuclear_waste_long:0, Long-Lived Nuclear Waste
hbm:nuclear_waste_long:1, Long-Lived Nuclear Waste
hbm:nuclear_waste_long:2, Long-Lived Nuclear Waste
hbm:nuclear_waste_long:3, Long-Lived Nuclear Waste
hbm:nuclear_waste_long:4, Long-Lived Nuclear Waste
hbm:nuclear_waste_long_tiny:0, Tiny Pile of Long-Lived Nuclear Waste
hbm:nuclear_waste_long_tiny:1, Tiny Pile of Long-Lived Nuclear Waste
hbm:nuclear_waste_long_tiny:2, Tiny Pile of Long-Lived Nuclear Waste
hbm:nuclear_waste_long_tiny:3, Tiny Pile of Long-Lived Nuclear Waste
hbm:nuclear_waste_long_tiny:4, Tiny Pile of Long-Lived Nuclear Waste
hbm:nuclear_waste_short:0, Short-Lived Nuclear Waste
hbm:nuclear_waste_short:1, Short-Lived Nuclear Waste
hbm:nuclear_waste_short:2, Short-Lived Nuclear Waste
hbm:nuclear_waste_short:3, Short-Lived Nuclear Waste
hbm:nuclear_waste_short:4, Short-Lived Nuclear Waste
hbm:nuclear_waste_short:5, Short-Lived Nuclear Waste
hbm:nuclear_waste_short:6, Short-Lived Nuclear Waste
hbm:nuclear_waste_short:7, Short-Lived Nuclear Waste
hbm:nuclear_waste_short_tiny:0, Tiny Pile of Short-Lived Nuclear Waste
hbm:nuclear_waste_short_tiny:1, Tiny Pile of Short-Lived Nuclear Waste
hbm:nuclear_waste_short_tiny:2, Tiny Pile of Short-Lived Nuclear Waste
hbm:nuclear_waste_short_tiny:3, Tiny Pile of Short-Lived Nuclear Waste
hbm:nuclear_waste_short_tiny:4, Tiny Pile of Short-Lived Nuclear Waste
hbm:nuclear_waste_short_tiny:5, Tiny Pile of Short-Lived Nuclear Waste
hbm:nuclear_waste_short_tiny:6, Tiny Pile of Short-Lived Nuclear Waste
hbm:nuclear_waste_short_tiny:7, Tiny Pile of Short-Lived Nuclear Waste
hbm:nuclear_waste_long_depleted:0, Decayed Long-Lived Nuclear Waste
hbm:nuclear_waste_long_depleted:1, Decayed Long-Lived Nuclear Waste
hbm:nuclear_waste_long_depleted:2, Decayed Long-Lived Nuclear Waste
hbm:nuclear_waste_long_depleted:3, Decayed Long-Lived Nuclear Waste
hbm:nuclear_waste_long_depleted:4, Decayed Long-Lived Nuclear Waste
hbm:nuclear_waste_long_depleted_tiny:0, Tiny Pile of Decayed Long-Lived Nuclear Waste
hbm:nuclear_waste_long_depleted_tiny:1, Tiny Pile of Decayed Long-Lived Nuclear Waste
hbm:nuclear_waste_long_depleted_tiny:2, Tiny Pile of Decayed Long-Lived Nuclear Waste
hbm:nuclear_waste_long_depleted_tiny:3, Tiny Pile of Decayed Long-Lived Nuclear Waste
hbm:nuclear_waste_long_depleted_tiny:4, Tiny Pile of Decayed Long-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted:0, Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted:1, Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted:2, Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted:3, Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted:4, Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted:5, Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted:6, Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted:7, Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted_tiny:0, Tiny Pile of Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted_tiny:1, Tiny Pile of Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted_tiny:2, Tiny Pile of Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted_tiny:3, Tiny Pile of Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted_tiny:4, Tiny Pile of Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted_tiny:5, Tiny Pile of Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted_tiny:6, Tiny Pile of Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted_tiny:7, Tiny Pile of Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste, Nuclear Waste
hbm:nuclear_waste_tiny, Tiny Pile of Nuclear Waste
hbm:nuclear_waste_vitrified, Vitrified Nuclear Waste
hbm:nuclear_waste_vitrified_tiny, Tiny Pile of Vitrified Nuclear Waste
hbm:waste_uranium, Depleted Uranium Fuel
hbm:waste_thorium, Depleted Thorium Fuel
hbm:waste_plutonium, Depleted Plutonium Fuel
hbm:waste_mox, Depleted MOX Fuel
hbm:waste_schrabidium, Depleted Schrabidium Fuel
hbm:waste_uranium_hot, Depleted Uranium Fuel (Hot)
hbm:waste_thorium_hot, Depleted Thorium Fuel (Hot)
hbm:waste_plutonium_hot, Depleted Plutonium Fuel (Hot)
hbm:waste_mox_hot, Depleted MOX Fuel (Hot)
hbm:waste_schrabidium_hot, Depleted Schrabidium Fuel (Hot)
hbm:scrap, Scrap
hbm:scrap_oil, Oily Scraps
hbm:dust, Dust
hbm:falloutitem, Pile of Fallout
hbm:containment_box, item.containment_box.name
hbm:tritium_deuterium_cake, Tritium-Deuterium-Cake
hbm:pile_rod_uranium, Chicago Pile Uranium Rod
hbm:pile_rod_plutonium, Chicago Pile Plutonium Rod
hbm:pile_rod_source, Chicago Pile Ra226Be Neutron Source
hbm:pile_rod_boron, Chicago Pile Control Rod
hbm:rod_empty, Empty Rod
hbm:rod_dual_empty, Empty Dual Rod
hbm:rod_quad_empty, Empty Quad Rod
hbm:rod_th232, Thorium-232 Rod
hbm:rod_dual_th232, Thorium-232 Dual Rod
hbm:rod_quad_th232, Thorium-232 Quad Rod
hbm:rod_uranium, Uranium Rod
hbm:rod_dual_uranium, Uranium Dual Rod
hbm:rod_quad_uranium, Uranium Quad Rod
hbm:rod_u233, Uranium-233 Rod
hbm:rod_dual_u233, Uranium-233 Dual Rod
hbm:rod_quad_u233, Uranium-233 Quad Rod
hbm:rod_u235, Uranium-235 Rod
hbm:rod_dual_u235, Uranium-235 Dual Rod
hbm:rod_quad_u235, Uranium-235 Quad Rod
hbm:rod_u238, Uranium-238 Rod
hbm:rod_dual_u238, Uranium-238 Dual Rod
hbm:rod_quad_u238, Uranium-238 Quad Rod
hbm:rod_plutonium, Plutonium Rod
hbm:rod_dual_plutonium, Plutonium Dual Rod
hbm:rod_quad_plutonium, Plutonium Quad Rod
hbm:rod_pu238, Plutonium-238 Rod
hbm:rod_dual_pu238, Plutonium-238 Dual Rod
hbm:rod_quad_pu238, Plutonium-238 Quad Rod
hbm:rod_pu239, Plutonium-239 Rod
hbm:rod_dual_pu239, Plutonium-239 Dual Rod
hbm:rod_quad_pu239, Plutonium-239 Quad Rod
hbm:rod_pu240, Plutonium-240 Rod
hbm:rod_dual_pu240, Plutonium-240 Dual Rod
hbm:rod_quad_pu240, Plutonium-240 Quad Rod
hbm:rod_rgp, Reactor-Grade Plutonium Rod
hbm:rod_dual_rgp, Reactor-Grade Plutonium Dual Rod
hbm:rod_quad_rgp, Reactor-Grade Plutonium Quad Rod
hbm:rod_neptunium, Neptunium-237 Rod
hbm:rod_dual_neptunium, Neptunium-237 Dual Rod
hbm:rod_quad_neptunium, Neptunium-237 Quad Rod
hbm:rod_polonium, Polonium-210 Rod
hbm:rod_dual_polonium, Polonium-210 Dual Rod
hbm:rod_quad_polonium, Polonium-210 Quad Rod
hbm:rod_lead, Lead Rod
hbm:rod_dual_lead, Lead Dual Rod
hbm:rod_quad_lead, Lead Quad Rod
hbm:rod_schrabidium, Schrabidium-326 Rod
hbm:rod_dual_schrabidium, Schrabidium-326 Dual Rod
hbm:rod_quad_schrabidium, Schrabidium-326 Quad Rod
hbm:rod_solinium, Solinium-327 Rod
hbm:rod_dual_solinium, Solinium-327 Dual Rod
hbm:rod_quad_solinium, Solinium-327 Quad Rod
hbm:rod_balefire, Balefire Rod
hbm:rod_dual_balefire, Balefire Dual Rod
hbm:rod_quad_balefire, Balefire Quad Rod
hbm:rod_balefire_blazing, Blazing Balefire Rod
hbm:rod_dual_balefire_blazing, Blazing Balefire Dual Rod
hbm:rod_quad_balefire_blazing, Blazing Balefire Quad Rod
hbm:rod_thorium_fuel, Thorium Fuel Rod
hbm:rod_dual_thorium_fuel, Thorium Dual Fuel Rod
hbm:rod_quad_thorium_fuel, Thorium Quad Fuel Rod
hbm:rod_uranium_fuel, Uranium Fuel Rod
hbm:rod_dual_uranium_fuel, Uranium Dual Fuel Rod
hbm:rod_quad_uranium_fuel, Uranium Quad Fuel Rod
hbm:rod_plutonium_fuel, Plutonium Fuel Rod
hbm:rod_dual_plutonium_fuel, Plutonium Dual Fuel Rod
hbm:rod_quad_plutonium_fuel, Plutonium Quad Fuel Rod
hbm:rod_mox_fuel, MOX Fuel Rod
hbm:rod_dual_mox_fuel, MOX Dual Fuel Rod
hbm:rod_quad_mox_fuel, MOX Quad Fuel Rod
hbm:rod_schrabidium_fuel, Schrabidium Fuel Rod
hbm:rod_dual_schrabidium_fuel, Schrabidium Dual Fuel Rod
hbm:rod_quad_schrabidium_fuel, Schrabidium Quad Fuel Rod
hbm:rod_thorium_fuel_depleted, Depleted Thorium Fuel Rod
hbm:rod_dual_thorium_fuel_depleted, Depleted Thorium Dual Fuel Rod
hbm:rod_quad_thorium_fuel_depleted, Depleted Thorium Quad Fuel Rod
hbm:rod_uranium_fuel_depleted, Depleted Uranium Fuel Rod
hbm:rod_dual_uranium_fuel_depleted, Depleted Uranium Dual Fuel Rod
hbm:rod_quad_uranium_fuel_depleted, Depleted Uranium Quad Fuel Rod
hbm:rod_plutonium_fuel_depleted, Depleted Plutonium Fuel Rod
hbm:rod_dual_plutonium_fuel_depleted, Depleted Plutonium Dual Fuel Rod
hbm:rod_quad_plutonium_fuel_depleted, Depleted Plutonium Quad Fuel Rod
hbm:rod_mox_fuel_depleted, Depleted MOX Fuel Rod
hbm:rod_dual_mox_fuel_depleted, Depleted MOX Dual Fuel Rod
hbm:rod_quad_mox_fuel_depleted, Depleted MOX Quad Fuel Rod
hbm:rod_schrabidium_fuel_depleted, Depleted Schrabidium Fuel Rod
hbm:rod_dual_schrabidium_fuel_depleted, Depleted Schrabidium Dual Fuel Rod
hbm:rod_quad_schrabidium_fuel_depleted, Depleted Schrabidium Quad Fuel Rod
hbm:rod_waste, Nuclear Waste Rod
hbm:rod_dual_waste, Nuclear Waste Dual Rod
hbm:rod_quad_waste, Nuclear Waste Quad Rod
hbm:rod_water, Water Cell
hbm:rod_dual_water, Dual Water Cell
hbm:rod_quad_water, Quad Water Cell
hbm:rod_coolant, Coolant Cell
hbm:rod_dual_coolant, Dual Coolant Cell
hbm:rod_quad_coolant, Quad Coolant Cell
hbm:rod_lithium, Lithium Rod
hbm:rod_dual_lithium, Dual Lithium Rod
hbm:rod_quad_lithium, Quad Lithium Rod
hbm:rod_tritium, Tritium Cell
hbm:rod_dual_tritium, Dual Tritium Cell
hbm:rod_quad_tritium, Quad Tritium Cell
hbm:rod_ac227, Actinium-227 Rod
hbm:rod_dual_ac227, Actinium-227 Dual Rod
hbm:rod_quad_ac227, Actinium-227 Quad Rod
hbm:rod_cobalt, Cobalt Rod
hbm:rod_dual_cobalt, Cobalt Dual Rod
hbm:rod_quad_cobalt, Cobalt Quad Rod
hbm:rod_co60, Cobalt-60 Rod
hbm:rod_dual_co60, Cobalt-60 Dual Rod
hbm:rod_quad_co60, Cobalt-60 Quad Rod
hbm:rod_ra226, Radium-226 Rod
hbm:rod_dual_ra226, Radium-226 Dual Rod
hbm:rod_quad_ra226, Radium-226 Quad Rod
hbm:rod_quad_euphemium, Burned Out Quad Schrabidium Rod
hbm:rod_euphemium, Euphemium Rod
hbm:rod_reiium, Reiium Rod
hbm:rod_weidanium, Weidanium Rod
hbm:rod_australium, Australium Rod
hbm:rod_verticium, Verticium Rod
hbm:rod_unobtainium, Unobtainium Rod
hbm:rod_daffergon, Daffergon Rod
hbm:pellet_rtg_depleted_bismuth, Depleted Bismuth-209 RTG Pellet
hbm:pellet_rtg_depleted_lead, Depleted Lead RTG Pellet
hbm:pellet_rtg_depleted_mercury, Depleted Mercury RTG Pellet
hbm:pellet_rtg_depleted_neptunium, Depleted Neptunium RTG Pellet
hbm:pellet_rtg_depleted_zirconium, Depleted Zirconium RTG Pellet
hbm:pellet_rtg_radium, Radium-226 RTG Pellet
hbm:pellet_rtg_weak, Uranium-238 RTG Pellet
hbm:pellet_rtg, Plutonium-238 RTG Pellet
hbm:pellet_rtg_strontium, Strontium-90 RTG Pellet
hbm:pellet_rtg_cobalt, Cobalt-60 RTG Pellet
hbm:pellet_rtg_actinium, Actinium-227 RTG Pellet
hbm:pellet_rtg_americium, Americium-241 RTG Pellet
hbm:pellet_rtg_polonium, Polonium-210 RTG Pellet
hbm:pellet_rtg_gold, Gold-198 RTG Pellet
hbm:pellet_rtg_lead, Lead-209 RTG Pellet
hbm:pellet_rtg_balefire, Balefire-XXX RTG Pellet
hbm:drillbit_steel, Steel Drillbit
hbm:drillbit_steel_diamond, Steel Drillbit (Diamond-Tipped)
hbm:drillbit_hss, High-Speed Steel Drillbit
hbm:drillbit_hss_diamond, High-Speed Steel Drillbit (Diamond-Tipped)
hbm:drillbit_desh, Desh Drillbit
hbm:drillbit_desh_diamond, Desh Drillbit (Diamond-Tipped)
hbm:drillbit_tcalloy, Technetium Steel Drillbit
hbm:drillbit_tcalloy_diamond, Technetium Steel Drillbit (Diamond-Tipped)
hbm:drillbit_ferro, Ferrouranium Drillbit
hbm:drillbit_ferro_diamond, Ferrouranium Drillbit (Diamond-Tipped)
hbm:drillbit_dnt, Dineutronium Drillbit
hbm:drillbit_dnt_diamond, Dineutronium Drillbit (Diamond-Tipped)
hbm:pellet_coal, Dense Coal Cluster
hbm:chlorine_pinwheel, Chlorine Pinwheel
hbm:ring_starmetal, §9Starmetal Ring§r
hbm:flywheel_beryllium, Beryllium Flywheel
hbm:component_limiter, Stabilizer Component
hbm:component_emitter, Emitter Component
hbm:biomass, Biomass
hbm:biomass_compressed, Compressed Biomass
hbm:ball_resin, Latex
hbm:cordite, Cordite
hbm:ballistite, Ballistite
hbm:ball_dynamite, Dynamite
hbm:ball_tnt, TNT
hbm:ball_fireclay, Fireclay
hbm:piston_pneumatic, Pneumatic Piston
hbm:piston_hydraulic, Hydraulic Piston
hbm:piston_electro, Electric Piston
hbm:neutron_reflector, Neutron Reflector
hbm:rtg_unit, RTG Unit
hbm:thermo_unit_empty, Thermic Distribution Unit
hbm:thermo_unit_endo, Coldness Distribution Unit
hbm:thermo_unit_exo, Heat Distribution Unit
hbm:levitation_unit, Gravity Manipulator
hbm:magnetron, Magnetron
hbm:pellet_buckshot, Lead Pellets
hbm:pellet_flechette, Flechettes
hbm:pellet_chlorophyte, Chlorophyte Rounds
hbm:pellet_mercury, Mercury Rounds
hbm:pellet_meteorite, Meteorite Rounds
hbm:pellet_canister, Canister Shot
hbm:pellet_claws, Sharp Metal Claws
hbm:pellet_charged, Ionized Particles
hbm:pellet_cluster, Explosive Pellets
hbm:pellet_gas, Poison Gas Cartridge
hbm:coal_infernal, Infernal Coal
hbm:cinnebar, Cinnabar
hbm:toothpicks, Toothpicks
hbm:ducttape, Duct Tape
hbm:catalyst_clay, Clay Catalyst
hbm:motor, Motor
hbm:motor_desh, Desh Motor
hbm:photo_panel, Photovoltaic Panel
